Date, Open, High, Low, Close, Volume
03/18/20, 87.50, 92.083, 87.25, 91.50, 192904357.299339
03/17/20, 88.7735, 92.8888, 84.462, 90.392, 218342596.943204
03/16/20, 82.0755, 87.9726, 81.3016, 84.4575, 178345297.503166
03/13/20, 87.75, 89.3155, 84.031, 89.25, 176194497.533277
03/12/20, 86.099, 88.25, 83.75, 83.8305, 226924196.823061
03/11/20, 92.8925, 93.566, 90.075, 91.043, 112936618.418887
03/10/20, 93.544, 94.7135, 90.9085, 94.591, 142666198.002673
03/09/20, 88.693, 93.1385, 88.0645, 90.0305, 156264637.812295
03/06/20, 93.75, 95.5435, 93.475, 95.0545, 105471598.523398
03/05/20, 96.65, 98.036, 95.50, 96.2015, 94964198.6705012
03/04/20, 97.3285, 98.90, 96.10, 98.7915, 95458378.6635827
03/03/20, 98.7685, 99.8165, 94.4045, 95.4495, 150689837.890342
03/02/20, 95.3245, 97.7255, 93.50, 97.6975, 135233018.106738
02/28/20, 90.7315, 94.488, 90.5565, 94.1875, 189875937.341737
02/27/20, 96.719, 98.75, 94.1381, 94.215, 162879857.719682
02/26/20, 98.514, 100.7335, 98.0225, 98.9795, 104808038.532687
02/25/20, 101.321, 101.73, 97.921, 98.637, 124381878.258654
02/24/20, 100.159, 101.9648, 99.3987, 100.4645, 130939938.166841
02/21/20, 107.1075, 107.2275, 104.40, 104.7985, 93014798.6977928
02/20/20, 108.6535, 108.8395, 106.3725, 107.655, 62626839.1232243
02/19/20, 108.39, 109.255, 108.056, 108.511, 51223299.2828738
02/18/20, 106.251, 108.3035, 106.2053, 107.7835, 59021399.1737004
02/14/20, 107.784, 107.9518, 106.2945, 106.7435, 52123379.2702727
02/13/20, 107.2495, 108.514, 107.10, 107.4935, 60635819.1510985
02/12/20, 108.16, 109.0125, 107.7645, 108.00, 66685279.0664061
02/11/20, 107.545, 109.2975, 106.80, 107.54, 114920218.391117
02/10/20, 104.2505, 106.78, 104.248, 106.6955, 101124698.584254
02/07/20, 102.0995, 104.9265, 101.905, 103.964, 101906938.573303
02/06/20, 102.051, 102.815, 101.24, 102.5115, 63659079.1087729
02/05/20, 103.551, 103.551, 101.60, 101.9935, 87523478.7746713
02/04/20, 101.494, 102.99, 100.7685, 102.4835, 105786758.518985
02/03/20, 100.53, 102.425, 100.0125, 100.21, 117981878.348254
01/31/20, 102.5735, 102.786, 100.1135, 100.436, 311345595.641162
01/30/20, 92.90, 93.6435, 92.5305, 93.534, 126548758.228317
01/29/20, 93.20, 93.7375, 92.751, 92.90, 42027799.4116108
01/28/20, 92.025, 92.9055, 91.501, 92.6625, 56160799.2137488
01/27/20, 91.00, 92.05, 90.767, 91.417, 70570179.0120175
01/24/20, 94.5685, 94.7495, 92.372, 93.082, 75323618.9454693
